Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.47.44	-17.437868	14.664087	Yas	1032	1	701	4G	-89	-13	0.0	-	-79	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1032-1-1850-132	D
2025.07.18_22.47.45	-17.437865	14.664185	Yas	1032	1	701	4G	-89	-13	0.0	-	-77		START UPLOAD	D
2025.07.18_22.47.58	-17.437917	14.664272	Yas	1032	1	701	4G	-90	-10	0.0	-	-79		START DOWNLOAD	D
2025.07.18_22.48.40	-17.438083	14.664605	Yas	1032	1	701	4G	-90	-8	0.0	-	-81	CALL_START	608-02-701-1032-1 VOICE SEQUENCE:17	I
2025.07.18_22.48.42	-17.43811	14.664702	Yas	0	0	0	3G	-113	-11	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1032-1-1850-132:608-02-0-0-0-0-0	VD
2025.07.18_22.48.42	-17.43811	14.664702	Yas	0	0	0	3G	-113	-11	-	-	-	CSFB_4G3G	1990	VD
2025.07.18_22.48.48	-17.43811	14.664702	Yas	5	10321	43	2G	-61	-	-	-	-	IRAT_HANDOVER_VOICE_3G2G	608-02-0-0-0-0-0:608-02-43-5-10321-3060-360	VD
2025.07.18_22.49.25	-17.438222	14.664957	Yas	5	10321	43	3G	-59	-4	-	-	-	CALL_END	608-02-43-5-10321 VOICE SEQUENCE:17	V
2025.07.18_22.49.46	-17.438295	14.665225	Yas	5	10321	43	3G	-63	-4	-	-	-	CALL_END	608-02-43-5-10321	I
2025.07.18_22.49.46	-17.438295	14.665225	Yas	0	0	0	2G	-113	-	-	-	-	CELL_RESELECTION_2G2G	608-02-43-5-10321-3060-360:608-02-0-0-0-0-0	I
2025.07.18_22.49.48	-17.438295	14.665225	Yas	1032	11	701	4G	-73	-6	0.0	-	-69	IRAT_CELL_RESELECTION_2G4G	608-02-0-0-0-0-0:608-02-701-1032-11-6400-450	I
2025.07.18_22.49.50	-17.438295	14.665225	Yas	1032	1	701	4G	-84	-8	0.0	-	-75	CELL_RESELECTION_4G4G	608-02-701-1032-11-6400-450:608-02-701-1032-1-1850-132	I
2025.07.18_22.49.58	-17.43833	14.665322	Yas	1032	1	701	4G	-87	-11	0.0	-	-87		START PING	D
2025.07.18_22.50.02	-17.43833	14.665322	Yas	1032	1	701	4G	-95	-9	0.0	-	-85		START UPLOAD	D
2025.07.18_22.50.15	-17.438325	14.665413	Yas	1032	1	701	4G	-93	-9	0.0	-	-85		START DOWNLOAD	D
2025.07.18_22.50.40	-17.43843	14.665678	Yas	1648	2	701	4G	-91	-7	0.0	-	-83	HANDOVER_DATA_4G4G	608-02-701-1032-1-1850-132:608-02-701-1648-2-1850-33	D
2025.07.18_22.50.57	-17.438488	14.665852	Yas	1648	2	701	4G	-89	-9	0.0	-	-81	CALL_START	608-02-701-1648-2 VOICE SEQUENCE:18	I
2025.07.18_22.51.04	-17.438488	14.665852	Yas	0	0	0	3G	-113	-4	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1648-2-1850-33:608-02-0-0-0-0-0	V
2025.07.18_22.51.04	-17.438488	14.665852	Yas	0	0	0	3G	-113	-4	-	-	-	CSFB_4G3G	6230	V
2025.07.18_22.51.09	-17.438487	14.665947	Yas	5	16482	43	2G	-61	-	-	-	-	IRAT_HANDOVER_VOICE_3G2G	608-02-0-0-0-0-0:608-02-43-5-16482-3060-499	VD
